date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:28	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2022%20Dec%202020%2014:40:44%20GMT	https://www.tirupurexpress.com/robots.txt		(from )
12:22:28	41764/41764	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:52:28%20GMT	https://www.tirupurexpress.com/	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/index.html	(from )
12:22:29	45400/45400	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Sep%202021%2007:15:32%20GMT	https://www.tirupurexpress.com/public/uploads/site_photos/57b9822606aa795498f7f4196b11a5b4.png	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/uploads/site_photos/57b9822606aa795498f7f4196b11a5b4.png	(from https://www.tirupurexpress.com/)
12:22:29	161409/161409	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2015:47:54%20GMT	https://www.tirupurexpress.com/public/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/bootstrap.min.css	(from https://www.tirupurexpress.com/)
12:22:30	35973/35973	---MCZ	200	added ('OK')	text/css	date:Sun,%2004%20Oct%202020%2008:59:16%20GMT	https://www.tirupurexpress.com/public/frontend/css/jquery-ui.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/jquery-ui.css	(from https://www.tirupurexpress.com/)
12:22:30	52789/52789	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/animate.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/animate.min.css	(from https://www.tirupurexpress.com/)
12:22:31	6951/6951	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/magnific-popup.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/magnific-popup.css	(from https://www.tirupurexpress.com/)
12:22:31	3011/3011	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:56:58%20GMT	https://www.tirupurexpress.com/public/frontend/css/owl.carousel.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/owl.carousel.min.css	(from https://www.tirupurexpress.com/)
12:22:31	5222/5222	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/dataTables.bootstrap4.min.css	(from https://www.tirupurexpress.com/)
12:22:31	15196/15196	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:02%20GMT	https://www.tirupurexpress.com/public/frontend/css/select2.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/select2.min.css	(from https://www.tirupurexpress.com/)
12:22:32	16792/16792	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:02%20GMT	https://www.tirupurexpress.com/public/frontend/css/select2-bootstrap.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/select2-bootstrap.min.css	(from https://www.tirupurexpress.com/)
12:22:33	7309/7309	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/meanmenu.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/meanmenu.css	(from https://www.tirupurexpress.com/)
12:22:34	119289/119289	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:04%20GMT	https://www.tirupurexpress.com/public/frontend/css/spacing.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/spacing.css	(from https://www.tirupurexpress.com/)
12:22:34	19418/19418	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Nov%202020%2015:13:36%20GMT	https://www.tirupurexpress.com/public/frontend/css/summernote-bs4.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/summernote-bs4.min.css	(from https://www.tirupurexpress.com/)
12:22:34	1026/1026	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202020%2007:34:12%20GMT	https://www.tirupurexpress.com/public/frontend/css/jquery.timepicker.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/jquery.timepicker.css	(from https://www.tirupurexpress.com/)
12:22:35	6741/6741	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2015:41:04%20GMT	https://www.tirupurexpress.com/public/frontend/css/toastr.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/toastr.min.css	(from https://www.tirupurexpress.com/)
12:22:35	24951/24951	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:05:52%20GMT	https://www.tirupurexpress.com/public/frontend/css/sweetalert2.min.css	C:/My%20Web%20Sites/abNew/www.tirupurexpress.com/public/frontend/css/sweetalert2.min.css	(from https://www.tirupurexpress.com/)
